delta_deg,model,chi2,k,eps12,eps23,eps13,theta12_deg,theta23_deg,theta13_deg,s12sq,s23sq,s13sq
145.0,M_free23+free13,8.792000000419007,3,-0.049388048381761016,-0.062489035338709815,0.0017616730992614969,33.522750298949504,42.18799340975805,8.58820800790056,0.3049999999943093,0.45100000000000023,0.02229999999968796
150.0,M_free23+free13,7.7520000002989695,3,-0.04938804838249031,-0.06248903533233357,0.0017616731063228057,33.52275029892378,42.18799341004498,8.588208007961098,0.3049999999938958,0.4510000000049841,0.02229999999999998
152.0,M_free23+free13,7.336000000308189,3,-0.0493880483816371,-0.06248903534432858,0.0017616731063234074,33.522750298953866,42.187993409505204,8.588208007961102,0.30499999999437943,0.4509999999956086,0.022300000000000004
153.0,M_free23+free13,7.128000000314259,3,-0.0493880483852851,-0.06248903534419886,0.0017616731063232055,33.52275029882523,42.187993409511044,8.5882080079611,0.3049999999923119,0.45099999999571,0.022299999999999997
155.0,M_free23+free13,6.742000000419002,3,-0.04938804838176092,-0.062489035338710114,0.001761673099261466,33.522750298949504,42.18799340975804,8.58820800790056,0.3049999999943093,0.4510000000000001,0.02229999999968796
156.0,M_free23+free13,6.564000000344326,3,-0.04938804838510137,-0.06248903534482695,0.0017616731063230106,33.52275029883171,42.187993409482786,8.5882080079611,0.30499999999241617,0.4509999999952191,0.022299999999999986
160.0,M_free23+free13,5.852000000220027,3,-0.049388048378245945,-0.06248903533390121,0.0017616731063232686,33.52275029907346,42.18799340997444,8.5882080079611,0.3049999999963013,0.4510000000037588,0.022299999999999997
162.0,M_free23+free13,5.4960000003655605,3,-0.04938804838059558,-0.062489035345575636,0.0017616731063234508,33.522750298990594,42.18799340944909,8.588208007961102,0.3049999999949697,0.45099999999463397,0.022300000000000004
165.0,M_free23+free13,4.99200000039392,3,-0.049388048378538774,-0.062489035346299106,0.0017616731063233562,33.522750299063134,42.187993409416535,8.5882080079611,0.30499999999613536,0.45099999999406837,0.022299999999999997
168.0,M_free23+free13,4.54800000041901,3,-0.049388048381761265,-0.062489035338710225,0.0017616730992612703,33.52275029894949,42.187993409758036,8.588208007900558,0.30499999999430905,0.45099999999999996,0.02229999999968795
170.0,M_free23+free13,4.252000000419029,3,-0.04938804838176093,-0.06248903533871023,0.0017616730992610914,33.522750298949504,42.187993409758036,8.588208007900556,0.3049999999943093,0.45099999999999996,0.022299999999687934
171.0,M_free23+free13,4.104000000419019,3,-0.049388048381760946,-0.06248903533871057,0.0017616730992612345,33.522750298949504,42.18799340975802,8.588208007900558,0.3049999999943093,0.4509999999999998,0.02229999999968795
174.0,M_free23+free13,3.6600000004200544,3,-0.049388048381760925,-0.06248903533871013,0.001761673099242178,33.522750298949504,42.18799340975804,8.588208007900395,0.3049999999943093,0.4510000000000001,0.022299999999687105
175.0,M_free23+free13,3.539000000223404,3,-0.04938804842759318,-0.062489035338710246,0.0017616731057103095,33.52275029733326,42.187993409758036,8.588208007955847,0.3049999999683342,0.45099999999999996,0.022299999999972914
176.0,M_free23+free13,3.418000000420052,3,-0.04938804838176102,-0.062489035338710204,0.0017616730992422239,33.522750298949504,42.187993409758036,8.588208007900395,0.3049999999943093,0.45099999999999996,0.022299999999687105
180.0,M_free23+free13,2.934000000420052,3,-0.04938804838176091,-0.06248903533871017,0.001761673099242225,33.522750298949504,42.187993409758036,8.588208007900395,0.3049999999943093,0.45099999999999996,0.022299999999687105
184.0,M_free23+free13,2.450000000420052,3,-0.04938804838176096,-0.06248903533871016,0.0017616730992421738,33.522750298949504,42.187993409758036,8.588208007900395,0.3049999999943093,0.45099999999999996,0.022299999999687105
185.0,M_free23+free13,2.3550000004190292,3,-0.04938804838176092,-0.0624890353387102,0.0017616730992611584,33.522750298949504,42.187993409758036,8.588208007900556,0.3049999999943093,0.45099999999999996,0.022299999999687934
186.0,M_free23+free13,2.2600000003892857,3,-0.04938804838377009,-0.06248903534584007,0.0017616731063232738,33.522750298878655,42.18799340943719,8.5882080079611,0.30499999999317057,0.45099999999442714,0.022299999999999997
189.0,M_free23+free13,1.9750000002168266,3,-0.04938804842362048,-0.062489035338710204,0.0017616731055831744,33.52275029747336,42.187993409758036,8.588208007954755,0.3049999999705858,0.45099999999999996,0.022299999999967294
190.0,M_free23+free13,1.8800000002665906,3,-0.049388048441918506,-0.06248903533870869,0.0017616731077226765,33.522750296828086,42.18799340975811,8.588208007973098,0.3049999999602154,0.4510000000000012,0.022300000000061826
